id	M	dec_year	latitude	longitude	depth	strike	dip	rake	s11	s12	s13	s22	s23	s33
72.0	3.4	1997.754179	43.02797	12.869573	3.752	90.0	80.0	170.0	-1259000.0	113900.0	308100.0	442400.0	65530.0	-825800.0
73.0	3.3	1997.754308	43.106095	12.803547	4.054	165.0	60.0	-80.0	95510.0	-433700.0	-647800.0	-378100.0	150300.0	666800.0
74.0	2.4	1997.754312	43.103239	12.804382	3.76	185.0	50.0	-50.0	753000.0	-65180.0	-381500.0	192400.0	709300.0	934000.0
75.0	3.5	1997.754369	43.102535	12.804963	3.531	120.0	40.0	-120.0	753000.0	-65180.0	-381500.0	192400.0	709300.0	934000.0
76.0	3.2	1997.754512	43.042611	12.830206	4.492	60.0	30.0	140.0	-1694000.0	-1353000.0	27350.0	-2142000.0	-189100.0	-1352000.0
77.0	2.4	1997.754795	43.0271	12.867631	4.801	15.0	75.0	10.0	-1821000.0	662100.0	820300.0	781500.0	188400.0	-1648000.0
78.0	3.4	1997.754862	43.04279	12.861301	4.133	140.0	35.0	-110.0	-3667000.0	-1107000.0	707700.0	-620900.0	44050.0	1182000.0
79.0	2.4	1997.754902	43.030648	12.872983	3.516	100.0	80.0	170.0	-1381000.0	79830.0	699600.0	722200.0	-131300.0	-950400.0
80.0	2.4	1997.754991	43.029895	12.840813	6.937	350.0	35.0	-30.0	151600.0	322000.0	387200.0	272800.0	163300.0	-848500.0
81.0	2.4	1997.755824	43.062944	12.853	3.687	60.0	25.0	-90.0	-3725000.0	-4342000.0	-1102000.0	-4330000.0	275400.0	6801000.0
82.0	2.4	1997.756086	43.058223	12.899649	2.295	320.0	65.0	30.0	-187500.0	-267600.0	386300.0	-2039000.0	455300.0	-1706000.0
83.0	3.9	1997.756339	42.939246	12.913829	5.483	115.0	70.0	-60.0	-148900.0	17730.0	25860.0	49030.0	3225.0	-6570.0
84.0	2.4	1997.756356	42.992786	12.905344	4.698	320.0	70.0	-120.0	-1282000.0	-516500.0	109700.0	-338700.0	54960.0	-507000.0
85.0	2.4	1997.75639	43.063236	12.85134	3.724	20.0	30.0	-110.0	-3725000.0	-4342000.0	-1102000.0	-4330000.0	275400.0	6801000.0
86.0	3.3	1997.756417	43.045744	12.8741	2.717	120.0	55.0	-100.0	-2534000.0	-676700.0	976300.0	-253300.0	-991000.0	759800.0
87.0	2.9	1997.756453	42.94327	12.934627	3.977	55.0	65.0	-150.0	-40070.0	47990.0	-2353.0	41720.0	5209.0	-33190.0
88.0	3.1	1997.756523	43.023747	12.872102	2.879	175.0	70.0	-30.0	-567500.0	161500.0	172800.0	321500.0	129500.0	-490800.0
89.0	2.4	1997.756765	42.999296	12.867388	1.162	140.0	50.0	-120.0	-31000.0	94730.0	-42050.0	120700.0	42730.0	-56880.0
90.0	3.2	1997.756799	42.943205	12.924173	4.869	125.0	65.0	-70.0	-123500.0	42510.0	68.21	56930.0	541.4	-22800.0
91.0	2.4	1997.756892	43.095353	12.86212	2.462	185.0	70.0	-40.0	-1321000.0	-370100.0	-84030.0	-678400.0	-118200.0	329500.0
92.0	2.4	1997.756915	43.047685	12.893922	1.619	50.0	65.0	50.0	-127100.0	267600.0	752500.0	914100.0	-1201000.0	-151900.0
93.0	3.2	1997.756938	43.006653	12.916822	3.703	110.0	65.0	-140.0	-486500.0	-855600.0	-108500.0	-464400.0	-944600.0	3426000.0
94.0	3.0	1997.75704	42.982027	12.907213	2.835	130.0	70.0	-80.0	-79960.0	121400.0	72140.0	194400.0	135600.0	-91550.0
95.0	2.4	1997.757052	43.058248	12.898631	2.18	330.0	85.0	10.0	-107800.0	287500.0	117900.0	-331600.0	30030.0	-1136000.0
96.0	2.4	1997.757122	43.012931	12.917717	2.564	120.0	65.0	-130.0	176700.0	238900.0	-199900.0	279700.0	-407100.0	1197000.0
97.0	2.4	1997.757124	43.038652	12.864344	4.551	70.0	50.0	-150.0	-4427000.0	-1850000.0	881100.0	-1969000.0	313400.0	912200.0
98.0	2.9	1997.757413	43.033956	12.898499	4.345	70.0	60.0	-140.0	660600.0	535700.0	105500.0	713800.0	-87670.0	-1266000.0
99.0	3.5	1997.757442	42.944283	12.933971	4.321	220.0	85.0	170.0	-60180.0	57960.0	2061.0	53000.0	4581.0	-44050.0
100.0	4.6	1997.757497	42.946082	12.938757	3.909	125.0	49.0	-99.0	-16630.0	49190.0	8028.0	42930.0	4041.0	-44110.0
101.0	3.1	1997.757531	42.944861	12.938849	3.669	125.0	55.0	-60.0	-616.9	44460.0	10740.0	40330.0	5057.0	-39170.0
102.0	2.4	1997.757733	43.02231	12.852582	5.014	170.0	65.0	-60.0	-2348000.0	-656900.0	534300.0	-69630.0	153200.0	-595300.0
103.0	3.5	1997.757837	43.058256	12.893706	2.025	100.0	50.0	-70.0	299200.0	194000.0	138800.0	-169600.0	-877000.0	-348900.0
104.0	3.3	1997.757888	43.044442	12.921076	1.807	120.0	35.0	-90.0	114700.0	346700.0	-16950.0	79000.0	-76900.0	-411300.0
105.0	2.4	1997.757911	43.077653	12.874496	1.576	140.0	30.0	-50.0	-696000.0	-1492000.0	-2246000.0	-924000.0	-694800.0	6134000.0
106.0	3.6	1997.758369	42.978381	12.942683	1.473	90.0	45.0	-140.0	41990.0	-1697.0	78640.0	58090.0	-121500.0	64150.0
107.0	3.0	1997.758508	43.049479	12.909204	1.383	150.0	70.0	-40.0	116200.0	178100.0	-20490.0	429200.0	-323000.0	-472700.0
108.0	3.2	1997.758558	43.028845	12.870156	3.486	175.0	40.0	-40.0	-1026000.0	250100.0	415600.0	537800.0	57130.0	-844900.0
109.0	3.4	1997.759164	42.960738	12.920667	2.932	120.0	50.0	-110.0	-12200.0	84960.0	35610.0	75790.0	35150.0	-80010.0
110.0	3.6	1997.759354	42.963822	12.919023	3.042	145.0	70.0	-70.0	-29860.0	109000.0	47850.0	107100.0	39090.0	-106100.0
111.0	3.1	1997.759413	43.005021	12.941776	1.458	120.0	50.0	-120.0	65600.0	64230.0	61330.0	281300.0	-360000.0	-127300.0
112.0	3.5	1997.75948	43.049487	12.900343	2.753	130.0	60.0	-30.0	1029000.0	1254000.0	255100.0	287900.0	252200.0	-2113000.0
113.0	3.2	1997.759915	42.990308	12.876304	2.204	140.0	40.0	-80.0	-140000.0	45030.0	-40030.0	47790.0	2633.0	-189200.0
114.0	3.6	1997.760168	43.026237	12.940593	1.814	135.0	35.0	-90.0	256000.0	425100.0	165800.0	122700.0	-214500.0	-866400.0
115.0	2.4	1997.760843	43.011861	12.875308	2.506	280.0	70.0	-150.0	-237700.0	179400.0	44890.0	175300.0	178300.0	-242300.0
116.0	2.4	1997.760868	43.075224	12.808202	4.326	45.0	45.0	-90.0	-411000.0	-142800.0	26660.0	-939100.0	202800.0	-1405000.0
117.0	2.9	1997.761117	42.991296	12.885688	1.852	155.0	70.0	-30.0	-68310.0	85140.0	6889.0	103900.0	104600.0	-155600.0
118.0	3.3	1997.761529	43.026855	12.874515	2.358	155.0	35.0	-60.0	-500600.0	83900.0	236100.0	332100.0	66500.0	-418500.0
119.0	3.1	1997.761623	43.02179	12.911638	2.782	180.0	50.0	-60.0	565600.0	451000.0	-730100.0	161900.0	-102900.0	1400000.0
120.0	2.4	1997.76163	42.989937	12.899627	2.312	90.0	50.0	-150.0	-71360.0	102000.0	55100.0	156900.0	157800.0	-131300.0
121.0	3.2	1997.761828	43.028223	12.873578	2.41	170.0	35.0	-40.0	-500600.0	83900.0	236100.0	332100.0	66500.0	-418500.0
122.0	3.2	1997.762136	43.046415	12.894139	2.571	320.0	90.0	30.0	163800.0	877200.0	499800.0	1406000.0	-744500.0	-1990000.0
123.0	3.0	1997.762391	43.021948	12.875458	2.344	155.0	55.0	-40.0	-355300.0	150900.0	134100.0	333000.0	142600.0	-350300.0
124.0	2.4	1997.762946	43.01143	12.845218	1.435	90.0	75.0	-150.0	-212600.0	-24690.0	-125600.0	101200.0	-44820.0	-69420.0
125.0	2.4	1997.763001	43.048901	12.892361	2.663	50.0	55.0	-130.0	-3082000.0	-2834000.0	-486200.0	-3621000.0	-944500.0	5002000.0
126.0	2.9	1997.763653	43.02817	12.869254	2.928	165.0	50.0	-80.0	-728800.0	55880.0	219200.0	307700.0	69640.0	-537400.0
127.0	5.4	1997.763792	43.022693	12.848636	5.511	170.0	40.0	-80.0	-1505000.0	-537700.0	770100.0	-247000.0	362400.0	-562400.0
128.0	3.3	1997.763832	43.021761	12.86756	3.672	115.0	65.0	-80.0	-1066000.0	224900.0	178200.0	358800.0	119400.0	-674500.0
129.0	2.4	1997.763895	42.972319	12.870561	3.832	190.0	65.0	-30.0	-273400.0	-143900.0	-48990.0	-116800.0	-80720.0	-18570.0
130.0	2.4	1997.763935	43.022005	12.872354	2.466	140.0	60.0	-80.0	-439200.0	126600.0	140200.0	281200.0	134300.0	-383200.0
131.0	2.4	1997.763959	43.023881	12.886703	1.743	315.0	75.0	-160.0	-70300.0	98800.0	24940.0	209000.0	185800.0	-130900.0
132.0	2.4	1997.763984	43.021781	12.866017	3.387	100.0	50.0	-110.0	-848500.0	148200.0	141400.0	314400.0	101800.0	-593800.0
133.0	2.4	1997.763988	43.018595	12.849756	5.599	160.0	80.0	-50.0	-1204000.0	-282700.0	630300.0	-74170.0	263600.0	-329600.0
134.0	2.4	1997.76399	43.026318	12.871014	2.498	180.0	55.0	-30.0	-500600.0	83900.0	236100.0	332100.0	66500.0	-418500.0
135.0	3.1	1997.764009	42.982157	12.861485	5.219	130.0	50.0	-120.0	-304900.0	-219200.0	83130.0	-374000.0	-11670.0	8143.0
136.0	4.2	1997.76402	43.033228	12.852223	4.33	126.0	26.0	-102.0	-3047000.0	-1238000.0	337500.0	-1117000.0	47520.0	-1817000.0
137.0	3.2	1997.764085	43.016956	12.867188	3.995	105.0	60.0	-100.0	-811800.0	334500.0	161400.0	71720.0	43420.0	-449200.0
138.0	2.4	1997.764127	43.01248	12.832683	6.232	335.0	45.0	-150.0	-404700.0	-132300.0	372500.0	-122400.0	228900.0	-185600.0
139.0	3.6	1997.764163	43.02238	12.866463	4.469	5.0	90.0	20.0	-1429000.0	481800.0	383000.0	411200.0	133600.0	-884400.0
140.0	3.3	1997.764205	43.014315	12.875246	2.126	25.0	30.0	90.0	-181500.0	152400.0	29850.0	161600.0	190300.0	-185400.0
141.0	3.3	1997.76426	43.00887	12.874098	2.493	160.0	55.0	-30.0	-256100.0	152100.0	11720.0	120700.0	103600.0	-224200.0
142.0	3.0	1997.764277	43.065776	12.888767	1.367	80.0	70.0	-150.0	294200.0	622800.0	-399000.0	885900.0	-1359000.0	1271000.0
143.0	3.7	1997.764364	43.008403	12.872388	2.792	180.0	65.0	-40.0	-314100.0	168300.0	33250.0	80370.0	64310.0	-285100.0
144.0	3.6	1997.764417	43.078398	12.857999	3.391	5.0	15.0	-90.0	-1773000.0	-1966000.0	-1264000.0	-2188000.0	-227500.0	3875000.0
145.0	4.4	1997.764448	43.031209	12.861647	3.161	141.0	42.0	-77.0	-1137000.0	-114000.0	273100.0	215000.0	135.2	-732400.0
146.0	3.2	1997.764457	43.028902	12.871801	1.864	80.0	70.0	-180.0	-411600.0	47690.0	313100.0	273300.0	5587.0	-318500.0
147.0	2.4	1997.764537	43.021928	12.863333	4.679	155.0	35.0	-80.0	-2133000.0	274400.0	374800.0	367300.0	152400.0	-920600.0
148.0	2.4	1997.764539	43.006763	12.822498	7.102	180.0	55.0	-30.0	-196000.0	-77050.0	259800.0	-78360.0	184600.0	-152700.0
149.0	3.0	1997.764756	43.030607	12.864086	3.02	165.0	45.0	-70.0	-1137000.0	-114000.0	273100.0	215000.0	135.2	-732400.0
150.0	2.4	1997.765547	42.98208	12.894404	2.628	130.0	60.0	-130.0	-161100.0	40940.0	-47580.0	124500.0	24710.0	-216600.0
151.0	2.4	1997.765807	43.001156	12.931566	0.916	290.0	70.0	-150.0	-46670.0	-8373.0	78010.0	-63180.0	-165800.0	12690.0
152.0	2.4	1997.76598	42.985958	12.904571	2.757	115.0	70.0	-120.0	-110100.0	93990.0	36610.0	203300.0	125300.0	-151500.0
153.0	2.4	1997.766068	43.019287	12.885032	1.695	260.0	65.0	-170.0	-75260.0	109900.0	781.6	167900.0	241900.0	-91760.0
154.0	2.4	1997.766113	43.042415	12.829709	4.502	70.0	50.0	170.0	-1336000.0	-1185000.0	7129.0	-1713000.0	-168000.0	-674200.0
155.0	3.7	1997.766134	42.993144	12.886169	2.242	140.0	50.0	-80.0	-99440.0	87310.0	6615.0	103000.0	96420.0	-210500.0
156.0	3.3	1997.766146	42.995076	12.866153	1.384	125.0	50.0	-110.0	-27500.0	85600.0	-44070.0	114100.0	26560.0	-49570.0
157.0	2.4	1997.766178	43.016215	12.865338	4.407	175.0	65.0	-40.0	-837800.0	410300.0	247800.0	-30670.0	25940.0	-475800.0
158.0	2.4	1997.766307	42.988704	12.879134	3.627	115.0	60.0	-70.0	-280600.0	-118500.0	-90690.0	-132400.0	-159800.0	-227900.0
159.0	2.4	1997.766321	43.004374	12.842605	1.721	180.0	85.0	10.0	-182100.0	-12750.0	-117200.0	91160.0	-49980.0	-26870.0
160.0	2.4	1997.766465	43.036922	12.889485	1.786	15.0	85.0	10.0	-6217.0	123600.0	340400.0	382800.0	-298700.0	-485600.0
161.0	2.9	1997.766497	43.012016	12.872539	2.721	180.0	70.0	-40.0	-367300.0	190900.0	45260.0	148400.0	97230.0	-293900.0
