id	M	dec_year	latitude	longitude	depth	strike	dip	rake	s11	s12	s13	s22	s23	s33
81.0	2.2	2009.26285	42.38665	13.41488	8.642	145.0	70.0	-80.0	-49920.0	-95910.0	-87140.0	11810.0	-192300.0	506300.0
82.0	2.0	2009.262892	42.35593	13.36527	8.329	160.0	70.0	-60.0	-1940000.0	-1893000.0	-6378.0	-3119000.0	396600.0	-44710.0
83.0	1.7	2009.262923	42.36422	13.35888	8.583	20.0	40.0	30.0	-928000.0	-3003000.0	3280000.0	-570700.0	-290900.0	7757000.0
84.0	2.5	2009.262926	42.48097	13.38752	8.372	280.0	90.0	-120.0	-702100.0	-871500.0	606900.0	-857400.0	46980.0	1596000.0
85.0	2.4	2009.262934	42.3071	13.46755	4.159	145.0	55.0	-80.0	1909000.0	131500.0	2216000.0	1160000.0	-498400.0	3636000.0
86.0	1.2	2009.262973	42.32782	13.41183	7.871	100.0	65.0	-70.0	-878000.0	-376000.0	-296300.0	-3283000.0	1135000.0	-4902000.0
87.0	3.3	2009.263047	42.4576	13.41691	8.037	340.0	40.0	-85.0	238300.0	360600.0	-156600.0	170400.0	149600.0	-345400.0
88.0	1.2	2009.263138	42.33381	13.41033	7.369	345.0	60.0	-60.0	581000.0	1244000.0	-272400.0	-2174000.0	540500.0	-6211000.0
89.0	1.8	2009.26314	42.35648	13.31568	7.915	30.0	65.0	-20.0	200700.0	154300.0	-78030.0	-340200.0	123600.0	219800.0
90.0	1.7	2009.263157	42.28037	13.49982	3.926	170.0	55.0	-70.0	750000.0	83580.0	375400.0	667100.0	-85190.0	120300.0
91.0	1.7	2009.263193	42.48454	13.3936	8.181	175.0	10.0	-30.0	-922500.0	-672800.0	1067000.0	222200.0	-148700.0	353500.0
92.0	1.1	2009.263266	42.34475	13.41598	5.176	185.0	80.0	-20.0	1044000.0	738500.0	1150000.0	594200.0	368300.0	360200.0
93.0	1.7	2009.263289	42.37655	13.35426	7.842	170.0	75.0	-80.0	428600.0	-567200.0	1448000.0	514400.0	-602300.0	2668000.0
94.0	1.1	2009.263309	42.36947	13.35311	8.734	30.0	45.0	60.0	-264100.0	-952600.0	2007000.0	922200.0	-26680.0	1663000.0
95.0	1.9	2009.263387	42.36189	13.35299	8.604	285.0	15.0	-150.0	-524400.0	-1042000.0	772100.0	-1325000.0	116300.0	1879000.0
