id	M	dec_year	latitude	longitude	depth	strike	dip	rake	s11	s12	s13	s22	s23	s33
60.0	1.61	2019.50643	35.69523	-117.48497	11.315	118.0	69.0	82.0	-2801000.0	-970800.0	243700.0	-35730.0	-950400.0	-1118000.0
61.0	2.16	2019.506462	35.72458	-117.55137	3.242	288.0	71.0	151.0	6385000.0	-2032000.0	877900.0	-922500.0	-604300.0	954200.0
62.0	3.72	2019.506468	35.74548	-117.56413	6.175	150.0	87.0	162.0	2367000.0	-1067000.0	500000.0	614800.0	-188600.0	67300.0
63.0	2.49	2019.506483	35.7711	-117.596	4.517	339.0	84.0	166.0	1281000.0	-780000.0	242500.0	358000.0	-44970.0	31820.0
64.0	3.33	2019.506491	35.65577	-117.5179	2.861	180.0	75.0	-155.0	523700.0	-2294000.0	392700.0	-1943000.0	-2018000.0	-317100.0
65.0	2.23	2019.506493	35.62297	-117.57325	11.299	42.0	50.0	-83.0	4176000.0	4346000.0	9379000.0	387800.0	5703000.0	704700.0
66.0	2.45	2019.50652	35.72955	-117.52637	11.984	28.0	52.0	-82.0	2503000.0	240900.0	932200.0	802000.0	-138300.0	679000.0
67.0	4.04	2019.506537	35.76895	-117.62444	3.52	157.0	75.0	180.0	660600.0	-813800.0	210800.0	666500.0	-166400.0	73260.0
68.0	2.25	2019.506559	35.73233	-117.52737	11.856	144.0	90.0	152.0	2362000.0	134300.0	957500.0	741200.0	-132700.0	623900.0
69.0	4.02	2019.506563	35.69981	-117.48251	2.5	130.0	86.0	-178.0	-3896000.0	-1627000.0	34240.0	-2920000.0	-2204000.0	-1933000.0
70.0	3.85	2019.506588	35.69393	-117.50435	6.635	344.0	65.0	-163.0	-7427000.0	-2766000.0	453000.0	2737000.0	-684100.0	156900.0
71.0	1.96	2019.506605	35.72013	-117.53872	2.304	67.0	67.0	-93.0	13020000.0	-3161000.0	-1137000.0	-2129000.0	4231000.0	4090000.0
72.0	2.37	2019.506715	35.77073	-117.61552	4.045	168.0	73.0	-140.0	835800.0	-802700.0	233000.0	540400.0	-134400.0	70120.0
73.0	2.99	2019.506632	35.72383	-117.54687	2.708	315.0	88.0	-179.0	9103000.0	-2246000.0	-25710.0	-2652000.0	767600.0	2075000.0
74.0	2.22	2019.506643	35.76913	-117.60667	3.476	359.0	73.0	-169.0	1066000.0	-903700.0	263800.0	525000.0	-124700.0	77830.0
75.0	3.12	2019.506651	35.65653	-117.51787	2.525	156.0	86.0	-159.0	1602000.0	-2569000.0	304900.0	-3712000.0	-2115000.0	-769900.0
76.0	2.31	2019.506656	35.67852	-117.50307	1.403	149.0	83.0	178.0	-14140000.0	9378000.0	2556000.0	-6128000.0	-4973000.0	-1687000.0
